"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""noLateBindingResult""|""relative:///test/DynamicExpresso.UnitTest/DynamicTest.cs:319:9:319:27""]] is useless, since its value is never read.","/test/DynamicExpresso.UnitTest/DynamicTest.cs","319","9","319","80"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Invoke_enumerable_extensions is too closely tied to [[""Enumerable""|""file:///home/badgy/.nuget/packages/microsoft.netcore.app.ref/5.0.0/ref/net5.0/System.Linq.dll:0:0:0:0""]]: 7 dependencies to it, but only 0 dependencies to its own type.","/test/DynamicExpresso.UnitTest/EnumerableTest.cs","11","15","11","42"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method GitHub_Issue_169_ter is too closely tied to [[""Assert""|""file:///home/badgy/.nuget/packages/nunit/3.9.0/lib/netstandard1.6/nunit.framework.dll:0:0:0:0""]]: 4 dependencies to it, but only 1 dependencies to its own type.","/test/DynamicExpresso.UnitTest/GithubIssues.cs","348","15","348","34"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method ExecuteAsync implements the same conditional statement in multiple locations within the same scope.","/sample/DynamicExpressoWebShell/obj/Debug/net5.0/Razor/Views/Home/Index.cshtml.g.cs","42","9","229","9"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method Non_Ascii_Chars implements the same conditional statement in multiple locations within the same scope.","/test/DynamicExpresso.UnitTest/LiteralsTest.cs","461","4","466","4"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/DetectIdentifiersTest.cs","199","33","199","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/DetectIdentifiersTest.cs","220","33","220","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/DetectIdentifiersTest.cs","234","33","234","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/DetectIdentifiersTest.cs","251","33","251","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/DetectIdentifiersTest.cs","274","33","274","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/DynamicTest.cs","324","49","324","108"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","152","16","152","86"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","223","16","223","86"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","385","49","385","128"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","499","38","499","117"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","525","38","525","102"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","152","16","152","62"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/GithubIssues.cs","223","16","223","62"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/LambdaExpressionTest.cs","12","47","12","111"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/LambdaExpressionTest.cs","276","33","276","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/LambdaExpressionTest.cs","288","33","288","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/LambdaExpressionTest.cs","296","33","296","97"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","76","20","76","24"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","90","20","90","24"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","120","20","120","24"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","121","20","121","24"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","597","20","597","46"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","598","20","598","47"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","597","36","597","46"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","599","27","599","38"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/OperatorsTest.cs","598","20","598","32"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/VariablesTest.cs","233","60","233","103"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/VariablesTest.cs","240","16","240","86"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/test/DynamicExpresso.UnitTest/VariablesTest.cs","240","16","240","62"
